실질의미유무	대분류(5언 + 기타)	세종 품사 태그		mecab-ko-dic 품사 태그			
		태그	설명	태그	설명		
실질형태소	체언	NNG	일반 명사	NNG	일반 명사		
		NNP	고유 명사	NNP	고유 명사		
		NNB	의존 명사	NNB	의존 명사		
				NNBC	단위를 나타내는 명사		
		NR	수사	NR	수사		
		NP	대명사	NP	대명사		
	용언	VV	동사	VV	동사		
		VA	형용사	VA	형용사		
		VX	보조 용언	VX	보조 용언		
		VCP	긍정 지정사	VCP	긍정 지정사		
		VCN	부정 지정사	VCN	부정 지정사		
	수식언	MM	관형사	MM	관형사		
		MAG	일반 부사	MAG	일반 부사		
		MAJ	접속 부사	MAJ	접속 부사		
	독립언	IC	감탄사	IC	감탄사		
형식형태소	관계언	JKS	주격 조사	JKS	주격 조사		
		JKC	보격 조사	JKC	보격 조사		
		JKG	관형격 조사	JKG	관형격 조사		
		JKO	목적격 조사	JKO	목적격 조사		
		JKB	부사격 조사	JKB	부사격 조사		
		JKV	호격 조사	JKV	호격 조사		
		JKQ	인용격 조사	JKQ	인용격 조사		
		JX	보조사	JX	보조사		
		JC	접속 조사	JC	접속 조사		
	선어말 어미	EP	선어말 어미	EP	선어말 어미		
	어말 어미	EF	종결 어미	EF	종결 어미		
		EC	연결 어미	EC	연결 어미		
		ETN	명사형 전성 어미	ETN	명사형 전성 어미		
		ETM	관형형 전성 어미 	ETM	관형형 전성 어미 		
	접두사	XPN	체언 접두사	XPN	체언 접두사		
	접미사	XSN	명사 파생 접미사	XSN	명사 파생 접미사		
		XSV	동사 파생 접미사	XSV	동사 파생 접미사		
		XSA	형용사 파생 접미사	XSA	형용사 파생 접미사		
	어근	XR	어근	XR	어근		
	부호	SF	"마침표, 물음표, 느낌표"	SF	"마침표, 물음표, 느낌표"		
		SE	줄임표	SE	줄임표 …		
		SS	"따옴표,괄호표,줄표"	SSO	"여는 괄호 (, ["		
				SSC	"닫는 괄호 ), ]"		
		SP	"쉼표,가운뎃점,콜론,빗금"	SC	"구분자 , · / :"		
		SO	"붙임표(물결,숨김,빠짐)"	SY			
		SW	"기타기호 (논리수학기호,화폐기호)"				
	한글 이외	SL	외국어	SL	외국어		
		SH	한자	SH	한자		
		SN	숫자	SN	숫자		
